       TIC   RAJ2000   DEJ2000 class   varname       r   source
---------- --------- --------- ----- --------- ------- --------
     91961 221.69755 -23.92012    EA             0.000 VilaNova
    120016 222.57733 -24.42774    EW             0.000 VilaNova
    627436  73.04731 -25.19408    EW             0.000 VilaNova
    671564  73.40884 -29.11019    EW    TX Cae   0.077     GCVS
    737546  74.51503 -29.93301    EA             0.000 VilaNova
    862763 135.30805  -2.38946    EA  V636 Hya   0.062     GCVS
    927554 127.14681 -13.85388    EA  V426 Hya   0.105     GCVS
   1045298  34.42673  -8.27757    EB             0.000 VilaNova
   1103432 130.58146 -17.18944    EA             0.000 VilaNova
   1129033  37.15511  -7.06066    EA             0.000 VilaNova
   1129452  37.16530  -9.59595    EW             0.000 VilaNova
   1202347 131.27834 -27.91952    EA             0.000 VilaNova
   1220444  71.52739 -30.62330    EA             0.000 VilaNova
   1230647 137.34609 -15.58903    EB             0.000 VilaNova
   1449640  75.17161 -35.20261    EA             0.000 VilaNova
   1450518  75.20409 -32.21103    EW             0.000 VilaNova
   1630438 188.13536 -15.52292    EW             0.000 VilaNova
   1630690 188.19244 -16.43886    EW             0.000 VilaNova
   2020964 133.45863 -25.08426    EA             0.000 VilaNova
   2236015  79.57873  33.76737    EA             0.000 VilaNova
   2353789 134.27811 -28.77289    EA             0.000 VilaNova
   2372579 288.91705 -28.68923    EA             0.000 VilaNova
   2938831  82.05121  35.43112    EB  V426 Aur   0.035     GCVS
   2940839  81.96833  34.78284    EW    IU Aur   0.062     GCVS
   3815360  10.19583 -11.36703    EA             0.000 VilaNova
   3816260  10.13507  -6.48088    EA             0.000 VilaNova
   3921749  11.83332  -6.44264    EA             0.000 VilaNova
   4164713 114.62594  33.71153    EW             0.000 VilaNova
   4247738 115.32852  31.24282    EA             0.000 VilaNova
   4254645  81.11924  -2.39714    EA             0.000 VilaNova
   4629065  37.87418  -9.05943    EA             0.000 VilaNova
   4723156  39.44235  -7.09679    EA             0.000 VilaNova
   4742129  39.78647 -10.46290    EA             0.000 VilaNova
   5011919 161.20352  33.35331    EA    AG LMi   0.057     GCVS
   5092088 142.14331 -37.07999    EA             0.000 VilaNova
   5205367 269.52908  15.13942    EA             0.000 VilaNova
   5260642 269.70257  13.49619    EW  V508 Oph   0.034     GCVS
   5283033 107.74107  -3.87866    EW  V753 Mon   0.100     GCVS
   5364915 139.21022 -21.95449    EA             0.000 VilaNova
